"Professor Oak phone","Teléfono del Profesor Oak"
"......\wt[5] ......","......\wt[5]......"
"Hello, \PN!\nI can see you calling me over there!","Hola, \PN!\n¡Puedo verte llamándome desde allá!"
"Come over and talk to me.","Ven y habla conmigo."
"Hello, this is Professor Oak...\nOh, hello, \PN!","Hola, habla el Profesor Oak...\nAh, hola, \PN!"
"So, how's your Pokédex coming along?","Entonces, ¿cómo va tu Pokédex?"
"Evaluate Pokédex","Evaluar Pokédex"
"Quit","Salir"
"Hmm, let's see..\nYou've seen \v[1] Pokémon, and \nyou've caught \v[2] Pokémon!\nI see!","Hmm, veamos..\nHas visto \v[1] Pokémon,y \nhas atrapado \v[2] Pokémon!\n¡Ya veo!"
"Hmm, you still have a long journey ahead of you! \nKeep on going!","Hmm, ¡aún te queda un largo camino por recorrer! \n¡Sigue adelante!"
"Hmm, you're catching Pokémon at a decent pace!","Hmm, estás atrapando Pokémon a un ritmo decente!"
"You've caught a lot of Pokémon, but make sure you're raising them carefully!","Has atrapado muchos Pokémon, pero asegúrate de entrenarlos bien!"
"I didn't even know that many Pokémon existed!","¡Ni siquiera sabía que existían tantos Pokémon!"
"Show me your Pokédex again anytime!","Muéstrame tu Pokédex de nuevo cuando quieras!"
"Show me your Pokédex anytime!","Muéstrame tu Pokédex cuando quieras!"
"Click!\wt[10]\n......\wt[5] ......","Click!\wt[10]\n......\wt[5]......"
