"Pokeball swap","Intercambio Pokeball"
"\V[2] was caught in a \V[3]","\V[2] fue atrapado en una \V[3]"
"Which PokéBall would you like to swap it for?","¿Por qué Pokeball te gustaría cambiarla?"
"""Choose a ball""","""Elige una Pokeball"""
"You don't have any Poké Balls! You can purchase some with my colleague over here.","¡No tienes ninguna Pokeball! Puedes comprar algunas con mi colega de aquí al lado."
"\V[2] is already in a \V[5]","\V[2] ya está en una \V[5]"
"\GSwap \V[2]'s \V[3] for a \V[5]","\G¿Cambiar a \V[3] de \V[2] por una \V[5]?"
"Yes","Sí"
"No","No"
"\V[2]'s ball was swapped for a \V[5]!","¡La Pokeball de \V[2] fue cambiada por una \V[5]!"
"\GHere you go. Enjoy your new ball!","\GAquí tienes. ¡Disfruta tu nueva Pokeball!"
"\G\PN paid $3000 in exchange.","\G\PN pagó $3000 a cambio."
