"Randomizer options menu","Menú de opciones del Randomizer"
"Which of these would you like?\ch[1,7, Randomizer settings,Reshuffle gyms,Reshuffle wild Pokémon, Reshuffle trainers,Set stats range, Reshuffle items & TMs,Cancel]","¿Cuál de estas opciones deseas?\ch[1,7, Opciones del Randomizer,Reorganizar gimnasios,Reorganizar Pokémon salvajes,Reorganizar entrenadores,Establecer rango de stats,Reorganizar objetos y MT,Cancelar]"
"Check options","Verificar opciones"
"These are your current Randomizer settings:","Estas son tus configuraciones actuales del Randomizer:"
"\V[5]","\V[5]"
"Wild Pokémon stats range: \V[197] BST","Rango de stats Pokémon salvajes: \V[197] BST"
"Trainers stats range: \V[195] BST","Rango de stats entrenadores: \V[195] BST"
"Change options","Cambiar opciones"
"Reshuffle gyms","Reorganizar gimnasios"
"Reshuffle gyms types","Reorganizar tipos de gimnasios"
"Reset gyms types","Reiniciar tipos de gimnasios"
"Cancel","Cancelar"
"Reshuffle gyms?","¿Reorganizar gimnasios?"
"Yes","Sí"
"No","No"
"The Gym types have been shuffled.","Los tipos de gimnasio han sido reorganizados."
"Reset gym types?","¿Reiniciar tipos de gimnasio?"
"The Gym types have been resetted","Los tipos de gimnasio han sido reiniciados"
"Trainers need to be randomized for this option.","Los entrenadores deben ser randomizados para esta opción."
"Reshuffle wild poke","Reorganizar Pokémon salvajes"
"Reshuffle Pokédex?","¿Reorganizar Pokédex?"
"\C[6]Warning: You are about to shuffle the Pokédex with a low BST while also limiting the fusions to Pokémon that have custom sprites.","\C[6]Advertencia: Estás a punto de mezclar la Pokédex con un BST bajo mientras también limitas las fusiones a Pokémon que tienen sprites personalizados."
"\C[6]This may take a long time to randomize. Do you still wish to continue?","\C[6]Esto puede tomar mucho tiempo para randomizar. ¿Deseas continuar?"
"The wild Pokémon were re-shuffled.","Los Pokémon salvajes fueron reorganizados."
"Pokémon need to be randomized for this option.","Los Pokémon deben ser aleatorizados para esta opción."
"Reshuffle Trainers","Reorganizar entrenadores"
"Reshuffle trainers?","¿Reorganizar entrenadores?"
"The trainers have been shuffled.","Los entrenadores han sido mezclados."
"Set BST range","Establecer rango BST"
"Wild Pokémon BST range?","¿Rango BST Pokémon salvajes?"
"The new stats range for wild Pokémon is \V[197]","El nuevo rango de estadísticas para Pokémon salvajes es \V[197]"
"Trainers BST range?","¿Rango BST entrenadores?"
"The new stats range for trainers is \V[195]","El nuevo rango de estadísticas para entrenadores es \V[195]"
"You will have to re-shuffle the Pokédex and/or trainers for the changes to be applied.","Debes reorganizar la Pokédex y/o entrenadores para que los cambios se apliquen."
"Reshuffle items","Reorganizar objetos"
"Reshuffle items or TMs?","¿Reorganizar objetos o MTs?"
"Re-shuffle items","Reorganizar objetos"
"Re-shuffle TMs","Reorganizar MTs"
"Items were re-shuffled","Los objetos fueron reorganizados"
"TMs were re-shuffled","Las MTs fueron reorganizadas"
