"karma house lady","Señora de la Casa del Karma"
"My child...","Mi niño..."
"You seem like a very mean person. You have a lot of anger in your heart.","Pareces una persona muy mala. Tienes mucha ira en tu corazón."
"You don't strike me as a particularly good person...","No pareces una persona especialmente buena..."
"You strike me as someone who can be a bit mean-spirited sometimes, but still generally well-intentioned.","Pareces alguien que a veces puede ser un poco mala, pero en general con buenas intenciones."
"You strike me as  a very neutral person. Neither good, nor bad.","Pareces una persona muy neutral. Ni buena ni mala."
"You seem like you're very pure of heart and always willing to help the ones in need.","Pareces alguien muy puro de corazón y siempre dispuesto a ayudar a quienes lo necesitan."
"You strike me as someone who tries its earnest to always do the right thing.","Pareces alguien que se esfuerza sinceramente por hacer lo correcto siempre."
"You strike me as someone who generally tries to do the right thing, but you could also do a bit more.","Pareces alguien que generalmente trata de hacer lo correcto, pero podría hacer un poco más."
"You strike me as someone who generally tries to do the right thing, but your heart isn't completely pure either.","Pareces alguien que generalmente trata de hacer lo correcto, pero tu corazón tampoco es completamente puro."
"Spread kindness around you and the universe will be kind to you in return.","Esparce bondad a tu alrededor y el universo te corresponderá con bondad."
