"oak - postgame","Aquí tienes la traducción sin comillas ni saltos innecesarios:"
"If it isn't the new Pokémon League Champion! Welcome home \PN, it's good to have you back.","Vaya, si es el nuevo Campeón de la Liga Pokémon. Bienvenido a casa \PN, es bueno tenerte de vuelta."
"Everyone in the Pokémon scientific community is very impressed by your achievement.","Todos en la comunidad científica Pokémon están muy impresionados por tu logro."
"I have been talking with my colleague from the Johto region, professor Elm and told me that he wanted to give you a Pokémon to commemorate your victory.","He estado hablando con mi colega de la región Johto, el profesor Elm, y me dijo que quería darte un Pokémon para conmemorar tu victoria."
"He also mentionned something else...","También mencionó algo más..."
"A long time ago, scientists from Cinnabar Island engineered a Pokémon more powerful than any others.","Hace mucho tiempo, los científicos de la Isla Cinnabar crearon un Pokémon más poderoso que cualquiera."
"But they failed to curb its vicious tendencies and one day, it fled the mansion and hasn't been seen ever since.","Pero no pudieron controlar sus tendencias agresivas y un día escapó de la mansión y no se ha visto desde entonces."
"Recently, my colleague Professor Elm in Johto came across some new information concerning this rare Pokémon's whereabouts.","Recientemente, mi colega, el profesor Elm en Johto, encontró información nueva sobre el paradero de este raro Pokémon."
"He says he'd need the assistance of a strong trainer, so I thought you'd be the perfect candidate.","Dice que necesitaría la ayuda de un entrenador fuerte, así que pensé que serías el candidato perfecto."
"His lab is located in New Bark Town in the Johto region. It's a long way from here, but do you think you could pay him a visit?","Su laboratorio está en Pueblo Olivo, en la región Johto. Está lejos de aquí, pero ¿crees que podrías visitarlo?"
"Sure","Claro"
"Not really...","No realmente..."
"Please! Professor Elm would greatly benefit from the field experience of a powerful trainer like yourself.","Por favor, el profesor Elm se beneficiaría mucho de la experiencia de campo de un entrenador poderoso como tú."
"Won't you please reconsider?","¿Lo reconsiderarás?"
"Great! Then it's settled. Go meet my colleague Professor Elm in New Bark Town.","¡Genial! Entonces está decidido. Ve a ver a mi colega, el profesor Elm, en Pueblo Olivo."
"You can get to Johto by taking the train from Saffron City.","Puedes llegar a Johto tomando el tren desde Ciudad Azafrán."
"When you're in Goldenrod City, head down South through Azalea Town, and continue until you reach Violet City.","Cuando estés en Ciudad Trigal, ve hacia el sur pasando por Pueblo Azalea y continúa hasta llegar a Ciudad Violeta."
"From there, it should be a straight path to New Bark Town!","Desde ahí, debería ser un camino directo a Pueblo Olivo."
"Professor Elm will give you further instructions when you meet him. Good luck!","El profesor Elm te dará más instrucciones cuando lo encuentres. ¡Buena suerte!"
