"game_mode_menu","game_mode_menu"
"Which mode would you like to play?","¿Qué modo te gustaría jugar?"
"Classic","Clásico"
"Randomized mode","Modo aleatorio"
"Remix mode","Modo remix"
"\C[1]Classic\C[0] is the default game mode. All of the player teams and encounters are based on the original generation 1 games, but every Pokémon is still available.","\C[1]Clásico\C[0] es el modo de juego por defecto. Todos los equipos de los jugadores y encuentros se basan en los juegos originales de la generación 1, pero todos los Pokémon siguen estando disponibles."
"Play Classic Mode","Jugar modo clásico"
"Back","Atrás"
"In \C[1]Randomized mode\C[0] all of the trainers, wild encounters and items can be randomized. You'll get to customize exactly how you want everything to be randomized.","En \C[1]modo aleatorio\C[0], todos los entrenadores, encuentros salvajes y objetos pueden ser aleatorizados. Podrás personalizar exactamente cómo quieres que todo sea aleatorizado."
"Play Randomized mode","Jugar modo aleatorio"
"\C[1]Remix mode\C[0] is a special mode made by some members of the community that changes all of the trainer teams and wild encounters to showcase more Pokémon from the newer generations.","\C[1]Modo remix\C[0] es un modo especial creado por algunos miembros de la comunidad que cambia todos los equipos de entrenadores y encuentros salvajes para mostrar más Pokémon de las generaciones más nuevas."
"Play Remix mode","Jugar modo remix"
"BACKUP EXPERT MODE - MOVED TO EXPERIMENTAL OPTIONS FOR NOW","BACKUP EXPERT MODE - MOVED TO EXPERIMENTAL OPTIONS FOR NOW"
"\C[1]Expert mode\C[0] mode is similar to Classic mode, but it changes all of the trainer teams to make them as challenging as possible. This is for veteran Pokémon trainers only!","El modo \C[1]experto\C[0] es similar al modo clásico, pero cambia todos los equipos de entrenadores para hacerlos lo más desafiantes posible. ¡Este es solo para entrenadores Pokémon veteranos!"
"\C[2]This game mode is still very much a work-in- progress.Many of the trainer teams may still have issues and are likely to change in the future.","\C[2]Este modo de juego todavía está en desarrollo. Muchos equipos de entrenadores pueden tener problemas y es probable que cambien en el futuro."
"Make sure to share you suggestions about this game mode on the game's Discord.","Asegúrate de compartir tus sugerencias sobre este modo de juego en el Discord del juego."
"Play Expert mode","Jugar modo experto"
